name	ref	highway	quiz_id	stroke	stroke-width	opacity	len_m
Mundaring Weir Road	207	primary	mundaring-weir-road	#bca79f	1.4	0.78	6774.801335818496
Meadow Street	52;203	primary	meadow-street	#bca79f	1.4	0.78	993.6328122995762
Centenary Avenue		primary	centenary-avenue	#bca79f	1.4	0.78	2132.2976963083156
Birdiya Drive	5	trunk	birdiya-drive	#a1887f	1.8	0.82	1920.495014820905
Tydeman Road	204	primary	tydeman-road	#bca79f	1.4	0.78	2107.9676902305746
Drumpellier Drive		primary	drumpellier-drive	#bca79f	1.4	0.78	17768.03393814458
Airport Drive		primary	airport-drive	#bca79f	1.4	0.78	4912.202660205177
The Promenade		primary	the-promenade	#bca79f	1.4	0.78	1167.357595621921
Brady Street		primary	brady-street	#bca79f	1.4	0.78	1686.888001059897
Walter Place	204	primary	walter-place	#bca79f	1.4	0.78	458.3408143200504
Muchea South Road	85;359	primary	muchea-south-road	#bca79f	1.4	0.78	688.8660377041813
